id,scores
990001,0.994483733
990002,1.642064053
990003,2.643156928
990004,0.717472184
990005,3.650079009
990006,-0.617245248
990007,-0.070157402
990009,2.566270078
990010,0.715761573
990011,2.939868112
990012,0.948581236
990013,1.301712591
990014,3.776511527
990015,3.362528081
990016,3.881389775
990017,2.25819037
990018,3.977019264
990019,4.81169524
990020,0.279369224
990021,2.212356285
990022,-4.323701726
990024,1.665821703
990025,-5.558154761
990026,2.287370361
990027,-5.996055114
990028,1.330796261
990029,2.324511848
990030,2.048330357
990031,3.136190951
990032,3.757854859
990034,-4.50191334
990035,3.103671882
990036,-0.423767607
990037,-0.179011679
990038,-0.293240019
990039,-1.423982369
990040,-1.152778456
990041,4.186232852
990042,2.00299145
990043,2.211444464
990044,1.275270756
990045,3.823334316
990046,-1.137719633
990047,1.630945845
990048,3.166395419
990049,-3.065688104
990050,-2.277423288
990051,-3.880017901
990052,2.348007328
990053,1.149905334
990054,3.227415468
990055,-4.641740778
990056,-4.321094515
990057,-0.250724471
990058,-0.35508419
990059,1.756042215
990060,2.515285777
990061,2.206131244
990062,-2.774866806
990063,2.931226931
990064,4.970622249
990065,2.169283756
990066,2.183231739
990067,-4.786564219
990068,-3.733815733
990069,3.34534064
990070,-4.51870342
990071,3.397461695
990072,1.413913486
990073,4.86328444
990074,-5.958632886
990075,1.393826954
990076,0.75556002
990077,2.130335975
990078,2.166773883
990079,-1.19081636
990080,3.733671324
990081,1.835429317
990082,-5.988593169
990083,2.848527918
990084,1.051965696
990085,-5.991990245
990086,2.748461687
990087,1.281731908
990088,2.916334122
990089,3.636683405
990090,1.840470084
990091,-5.996301577
990092,-5.995650489
990093,1.28650659
990094,1.857367205
990095,3.774671756
990096,0.338789893
990097,-5.994527983
990098,0.272618969
990099,-0.932848965
990100,-0.912252985
990101,2.469594449
990102,2.538512634
990103,-1.608265589
990104,-1.903097583
990105,-1.238815699
990106,0.696368608
990107,2.158056573
990108,-1.236807434
990109,1.37173987
990110,1.000387264
990111,0.899593892
990112,-0.350694645
990113,1.651188417
990114,4.002208646
990115,1.017228735
990117,5.578139898
990118,0.732234876
990120,2.182251194
990121,0.264844511
990122,0.031468028
990123,1.283069488
990124,0.617818398
990126,4.78828853
990127,-5.993387788
990128,1.504969685
990129,1.082279703
990130,-3.510361668
